Borough,Neighborhood,no,yes,order
Bronx,Bronx Park and Fordham,45,3,0
Bronx,Central Bronx,4,2,0
Bronx,High Bridge and Morrisania,13,2,0
Bronx,Southeast Bronx,21,5,0
Bronx,Other Bronx,13,2,1
Bronx,Total,96,14,2
Brooklyn,Borough Park,7,2,0
Brooklyn,Bushwick and Williamsburg,20,7,0
Brooklyn,Flatbush,12,4,0
Brooklyn,Northwest Brooklyn,30,11,0
Brooklyn,Southwest Brooklyn,2,2,0
Brooklyn,Sunset Park,20,3,0
Brooklyn,Other Brooklyn,21,4,1
Brooklyn,Total,112,33,2
Manhattan,Central Harlem,22,8,0
Manhattan,Chelsea and Clinton,127,71,0
Manhattan,East Harlem,23,4,0
Manhattan,Gramercy Park and Murray Hill,43,24,0
Manhattan,Greenwich Village and Soho,27,20,0
Manhattan,Inwood and Washington Heights,28,3,0
Manhattan,Lower East Side,27,26,0
Manhattan,Lower Manhattan,38,43,0
Manhattan,Upper East Side,21,11,0
Manhattan,Upper West Side,14,11,0
Manhattan,Total,370,221,2
Queens,Jamaica,10,2,0
Queens,North Queens,46,14,0
Queens,Northwest Queens,16,5,0
Queens,West Queens,256,44,0
Queens,Other Queens,26,1,1
Queens,Total,354,66,2
Staten Island,Total,2,2,2
Total,Total,1051,349,2
